customer ID,Trans date & time,merchant,category,amount,first name ,last name ,gender,street,city,state,zip,City pop,job,Dob,Trans num,approved
14,01-01-2019 00:09,fraud_Beier-Hyatt,shopping_pos,7.77,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,899,Naval architect,30-08-1967,8a6293af5ed278dea14448ded2685fea,0
15,01-01-2019 00:09,fraud_Schmidt and Sons,shopping_net,3.26,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,4664,"Radiographer, diagnostic",30-06-1965,baae0b096835c975857eea7e28dde3dc,0
16,01-01-2019 00:10,fraud_Lebsack and Sons,misc_net,327,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,1078,"Programme researcher, broadcasting/film/video",06-07-1952,991c04803b4d4eeab30d6245a872e3d3,0
17,01-01-2019 00:10,fraud_Mayert Group,shopping_pos,341.67,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,4081,Energy engineer,15-03-1938,f12cf52be2175703db789a4644c32f25,0
18,01-01-2019 00:11,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,2518,Event organiser,02-02-1946,8500f3d459047eac8443307b1e8296e5,0
19,01-01-2019 00:12,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,124967,Operational researcher,21-12-1980,09eff9c806365e2a6be12c1bbab3d70e,0
20,01-01-2019 00:13,fraud_Bauch-Raynor,grocery_pos,57.34,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,47249,Market researcher,22-11-1980,139a1bee15be607d79fe173bfcb2502a,0
21,01-01-2019 00:14,fraud_Harris Inc,gas_transport,50.79,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,1132,Probation officer,14-02-1961,b9c4615bec3561c8e83b0c1d6c7028e2,0
22,01-01-2019 00:17,fraud_Kling-Grant,grocery_net,46.28,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,71485,Leisure centre manager,19-07-1974,19e23c6a300c774354417befe4f31f8c,0
23,01-01-2019 00:17,fraud_Pacocha-Bauch,shopping_pos,9.55,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,1791,Corporate investment banker,26-07-1965,c4b4daebab8be54cadde4b941244ca53,0
24,01-01-2019 00:18,fraud_Lesch Ltd,shopping_pos,22.95,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,95015,"Therapist, occupational",02-01-1946,d2432bfeabf142dc1bae1d426e32aecc,0
25,01-01-2019 00:18,fraud_Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,6629,Call centre manager,13-08-1962,abe0676c18f34fa305b113fa762e29b5,0
26,01-01-2019 00:20,fraud_Deckow-O'Conner,grocery_pos,64.09,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,31515,Police officer,05-11-1971,6f363661ba6b55889e488dd178f2a0af,0
27,01-01-2019 00:21,fraud_Bruen-Yost,misc_pos,6.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,471,"Education officer, museum",02-08-1967,f3c43d336e92a44fc2fb67058d5949e3,0
28,01-01-2019 00:22,fraud_Kunze Inc,grocery_pos,90.22,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,4878,Physiotherapist,03-12-1966,95826e3caa9e0b905294c6dae985aec1,0
29,01-01-2019 00:22,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,4005,Network engineer,15-03-1945,20490f3f0966ce74b4aaba8dc2c4ed52,0
30,01-01-2019 00:22,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,597,Forensic psychologist,19-05-1961,870c92b288a974a2faf1f24b05c27e33,0
31,01-01-2019 00:22,"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,5577,Geochemist,30-12-1964,cb598ec00d349dc95e7b3c18de5ae800,0
32,01-01-2019 00:22,fraud_Torphy-Goyette,shopping_pos,66.21,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,1038,Armed forces training and education officer,22-04-1964,20f048d3907dbb9978e23bee7b7578ce,0
33,01-01-2019 00:23,fraud_Balistreri-Nader,misc_pos,25.58,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,378909,"Designer, furniture",22-02-1977,1654da2abfb9e79a5f99167fc9779558,0
34,01-01-2019 00:23,"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,601723,"Optician, dispensing",20-07-1970,c733711c521c41c578f4a964d8350df0,0
35,01-01-2019 00:25,fraud_Hudson-Ratke,grocery_pos,99,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,467,"Psychologist, forensic",04-06-1984,7e2f9596cb3a3595ece15611ee338e5c,0
36,01-01-2019 00:26,fraud_Heidenreich PLC,grocery_pos,207.36,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,34496,"Librarian, public",21-10-1970,f246ac27c09429ff1e385d4683c79c4d,0
37,01-01-2019 00:27,fraud_Halvorson Group,misc_pos,181.35,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,19685,Fine artist,24-12-1984,7bb25a43205191eb7344282b88fc54d3,0
38,01-01-2019 00:27,fraud_Harber Inc,gas_transport,82.22,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,166081,"Scientist, research (maths)",01-10-1998,61bcb858dd5c8e2d0d46d02b4fa0bf8e,0
39,01-01-2019 00:29,"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,3285,"Research officer, trade union",27-04-1988,a8394c3e555166ce2f90eee628bd9ade,0
40,01-01-2019 00:30,"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,242,Tourism officer,18-07-1987,f1566e9623814dd277dfa2a9bf83ea36,0
41,01-01-2019 00:31,fraud_Howe Ltd,misc_pos,54.02,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,4015,Human resources officer,14-10-1971,8d11abad6bc3501f9994f061e3a5b730,0
42,01-01-2019 00:31,fraud_Ledner-Pfannerstill,gas_transport,102.13,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,46,"Surveyor, minerals",23-04-1987,47238da5b40d126c8abea40a857c7809,0
43,01-01-2019 00:32,fraud_Lockman Ltd,grocery_pos,212.75,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,2691,Arboriculturist,16-08-1993,d9dcde500bed2cad48ee41e44c362596,0
44,01-01-2019 00:32,fraud_Koepp-Witting,grocery_pos,130.4,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,2328,Applications developer,06-01-1942,14a6e29ac65424550ea7e7c9f551dbb8,0
45,01-01-2019 00:32,fraud_Doyle Ltd,grocery_pos,91.16,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,248858,Video editor,28-01-1971,685bcca9eb5ce554134d7242d564ecc9,0
46,01-01-2019 00:33,"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,5901,Curator,25-07-1972,392529cae1f1f1647093732a8f319c50,0
47,01-01-2019 00:34,fraud_Stracke-Lemke,grocery_pos,83.07,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,85,"Research officer, political party",01-09-1984,9b7a0619dcc5c572dc134f2827ed5a6b,0
48,01-01-2019 00:36,"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,205,"Engineer, mining",06-01-1960,f1e1ad954f49955c37b45eb71b2d1642,0
49,01-01-2019 00:36,fraud_Cartwright-Harris,grocery_pos,130.89,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,1686,"Education officer, community",06-11-1986,e02fd7d82af517718f83a3f05077d435,0
50,01-01-2019 00:37,fraud_Pacocha-O'Reilly,grocery_pos,103,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,969,"Physicist, medical",05-01-1954,289789e617eece42a9cafe36680b1b69,0
51,01-01-2019 00:39,fraud_Pfeffer LLC,grocery_net,50.82,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,551,Amenity horticulturist,27-09-1970,64a6d4be2510d764cbd869cd2a57a4fd,0
52,01-01-2019 00:39,fraud_Huels-Hahn,gas_transport,60.77,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,95,Electrical engineer,09-02-1994,211c26efcb0ed5e87d4700daee23e070,0
53,01-01-2019 00:39,fraud_Volkman PLC,food_dining,122.86,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,1263321,Television camera operator,24-11-1942,7d68e49b63d845b808108fcd41c15877,0
54,01-01-2019 00:40,fraud_Kiehn-Emmerich,grocery_pos,212.45,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,5719,Higher education careers adviser,05-11-1994,88fde595524ba43924f36bd397b86413,0
55,01-01-2019 00:40,fraud_Kemmer-Buckridge,misc_pos,7.33,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,45100,Ambulance person,25-10-1993,01620e8ae84989a6f95581855e49da99,0
56,01-01-2019 00:40,fraud_Cummerata-Jones,gas_transport,70.53,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,1302,Dealer,18-10-1976,7b91bd200c11c5cd24b43694e12b5bbc,0
57,01-01-2019 00:40,"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,Benjamin,Harris,M,0881 Lori Pines,Chester,MD,21619,5848,Paediatric nurse,15-02-1981,d94f89d7360cd6bade6cf1b73d003e8f,0
58,01-01-2019 00:41,fraud_Spinka-Welch,grocery_net,50.45,Thomas,Cross,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,1195,Trading standards officer,13-03-1974,16e0d3920a0e896a70fa54e7162165c0,0
59,01-01-2019 00:41,fraud_Huel-Langworth,misc_net,177.57,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,46,"Surveyor, minerals",23-04-1987,048dc7fc7ae8efd51f59f7176e6a8bd7,0
60,01-01-2019 00:42,fraud_Macejkovic-Lesch,shopping_pos,8.57,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,1324,"Engineer, technical sales",12-07-1926,70ed1a189a6bce479e564b120f2379d9,0
61,01-01-2019 00:43,fraud_Corwin-Collins,gas_transport,56.66,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,680,"Designer, jewellery",21-12-1966,144d8b04f90eb30e8df105a091212d99,0
62,01-01-2019 00:44,fraud_Morar Inc,grocery_net,75.34,Linda,Davis,F,493 Todd Views,Gaithersburg,MD,20882,135332,Clinical biochemist,28-03-1936,d6b7e57ba04fbb046f93a87301e493cb,0
63,01-01-2019 00:44,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,3224,"Engineer, electronics",22-08-1997,2eb55ba0572d67a64baaa8c463878d8c,0
64,01-01-2019 00:45,"fraud_Huel, Hammes and Witting",grocery_pos,92.84,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,743,Water engineer,04-05-1972,985ebf94aa7a3beeb927d07f77f0354c,0
65,01-01-2019 00:46,"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,973849,Science writer,12-06-1955,70ca7fe41f09770d724a027152dcb9f0,0
66,01-01-2019 00:47,fraud_Heathcote LLC,shopping_net,101.35,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,137,Film/video editor,13-08-1990,dab9571cce549056d3c6fedc525ccf23,0
67,01-01-2019 00:48,fraud_Huel-Langworth,misc_net,303.47,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,581,"Psychologist, counselling",04-02-1967,cdb332a151bdd568d98837b9e19043b8,0
68,01-01-2019 00:49,"fraud_Little, Gutmann and Lynch",shopping_net,83.52,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,2202,"Solicitor, Scotland",21-06-1974,5f7aafc802c8acb5924041bca310040f,0
69,01-01-2019 00:49,fraud_Torphy-Goyette,shopping_pos,9.97,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,269,Product/process development scientist,11-11-1962,22be5ae91a9497c54279abdb4b25210d,0
70,01-01-2019 00:50,fraud_Jaskolski-Dibbert,grocery_net,16.16,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,328,Tree surgeon,25-07-1983,514a1b5251ca91aeab8994cf6253f04b,0
71,01-01-2019 00:52,fraud_Hackett-Lueilwitz,grocery_pos,59.56,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,276002,"Programme researcher, broadcasting/film/video",02-01-1979,e922037de4ac8a6bec29be758e4ce195,0
72,01-01-2019 00:55,fraud_Cummings LLC,gas_transport,57.23,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,111,Careers information officer,13-06-2000,044fca5318d0550ed661b507b216f83c,0
73,01-01-2019 00:56,"fraud_Swaniawski, Lowe and Robel",shopping_pos,317.14,Christopher,Holt,M,05597 Michael Spurs,Parks,AZ,86018,759,"Geologist, engineering",28-03-1957,3fe3286b0ea3f8c8857ec2e3da17b853,0
74,01-01-2019 00:56,"fraud_Osinski, Ledner and Leuschke",grocery_pos,127.88,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110,350,Counsellor,05-01-1955,02384110799958e20345759c49a8910b,0
75,01-01-2019 00:56,"fraud_Reichert, Huels and Hoppe",shopping_net,113.4,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,1645,Freight forwarder,26-02-1976,9d660a18154a3ba5fe869f373c6f819c,0
76,01-01-2019 00:57,fraud_Ankunding LLC,shopping_net,94.53,Christopher,Matthews,M,433 John Heights Apt. 849,Etlan,VA,22719,395,Senior tax professional/tax inspector,07-01-1982,d513918bedeff433054b9384483bd79c,0
77,01-01-2019 00:57,fraud_Pfeffer and Sons,shopping_pos,1.82,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,1461,"Engineer, broadcasting (operations)",08-09-1935,35dd52e536ac27feca9d33ad8426f579,0
78,01-01-2019 00:58,"fraud_Greenholt, Jacobi and Gleason",gas_transport,75.77,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,35299,English as a second language teacher,30-04-1975,1240cd77c20744f96aa5e6a5cf9b1fcf,0
79,01-01-2019 00:58,fraud_Kunze Inc,grocery_pos,108.59,Sarah,Cross,F,273 Phillip Throughway,Bigelow,MN,56117,399,Economist,28-04-1977,c7398ef8cebfefee82e590d473cf538b,0
80,01-01-2019 00:59,fraud_Harris Inc,gas_transport,48.68,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,139,Patent attorney,25-05-1954,673b35c970ef05a2acceb2af42f919d7,0
81,01-01-2019 01:00,"fraud_Connelly, Reichert and Fritsch",gas_transport,72.35,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985,128,Child psychotherapist,03-04-1946,cfe0948d7b26c9fef58e59a9bf41d3e5,0
82,01-01-2019 01:00,fraud_Howe Ltd,misc_pos,218.71,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,320420,Water engineer,31-07-1975,43204045928cb3449edc63078a75b48c,0
83,01-01-2019 01:01,fraud_Torp-Labadie,gas_transport,52.59,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,4542,Claims inspector/assessor,19-03-1998,2686067ebeee0aa355a750faf309384e,0
84,01-01-2019 01:02,fraud_Wolf Inc,grocery_pos,89.11,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,964,Tourist information centre manager,23-12-1974,1cb03ad950bab1ca74b02500644ec1ba,0
85,01-01-2019 01:02,fraud_VonRueden Group,grocery_net,89.35,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,372,"Exhibitions officer, museum/gallery",12-07-1995,bce01a6ae8b8c6227cd4f1de751c017c,0
86,01-01-2019 01:04,fraud_Vandervort-Funk,grocery_pos,50.68,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,84532,9772,Location manager,24-11-1989,61861370b5c31b9c00fd949124944d7a,0
87,01-01-2019 01:06,fraud_Bernhard Inc,gas_transport,64.47,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,139,Patent attorney,25-05-1954,93953aab1a46beb5d65c8ab368a3f860,0
88,01-01-2019 01:06,"fraud_Morissette, Weber and Wiegand",grocery_net,63.58,Debbie,Hughes,F,0182 Owens Burgs Suite 480,Diamond,OH,44412,2644,"Engineer, biomedical",25-08-1983,0189da32192f942196b01f50bcebeac8,0
89,01-01-2019 01:08,fraud_Brekke and Sons,gas_transport,81.85,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,1523,Research scientist (physical sciences),03-06-1984,4e2abdbd30c0353eeddf16650e1fc46b,0
90,01-01-2019 01:09,fraud_Mraz-Herzog,gas_transport,59.7,Ashley,Robinson,F,1007 Colton Forks,Hopewell,VA,23860,31970,Purchasing manager,15-08-1935,9431e17d0ed2ec210587c4085d4c6887,0
91,01-01-2019 01:09,fraud_Ledner-Pfannerstill,gas_transport,90.54,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,93193,"Editor, magazine features",19-04-1995,295b782f9fa48f76f508179ec6412f9d,0
92,01-01-2019 01:09,fraud_Padberg-Welch,grocery_pos,50.57,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,19054,Operations geologist,08-09-1976,0cf233c92827db6083d311379ad67d46,0
93,01-01-2019 01:09,"fraud_Rippin, Kub and Mann",misc_net,3.79,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,71485,Leisure centre manager,19-07-1974,7c63dd07b14aac7dc99f4587d83dd599,0
94,01-01-2019 01:10,fraud_Kutch-Hegmann,grocery_net,54.54,Robert,Nguyen,M,74835 Garner Point,Ruth,NV,89319,450,Interpreter,24-08-1946,2d441ff99c98107300207fdfc6dc71f0,0
95,01-01-2019 01:11,fraud_Corwin-Gorczany,misc_net,3.35,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,2036,Engineering geologist,20-08-1971,054e43b7ffbe6f2315c2ef123f2da0c0,0
96,01-01-2019 01:14,fraud_Huels-Nolan,gas_transport,50.61,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,1426,Agricultural consultant,06-03-1957,a76f5e9735622f062eb663f06c169a94,0
97,01-01-2019 01:14,fraud_Jaskolski-Dibbert,grocery_net,50.74,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,46563,Systems developer,11-09-1970,8ba96beff66354e33f9fe96051a9a4a3,0
98,01-01-2019 01:14,fraud_DuBuque LLC,grocery_pos,186.73,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26551,Paramedic,04-01-1977,73e0bef38dd11227990b0e4e466d3706,0
99,01-01-2019 01:15,fraud_Kutch-Hegmann,grocery_net,39.95,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,2501,Financial adviser,11-06-1986,f487762b6cebc5a18abcfcb90b644c01,0
100,01-01-2019 01:16,fraud_Brekke and Sons,gas_transport,55.18,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26551,Paramedic,04-01-1977,3c6158c556727d527f8b51cc03b30236,0
101,01-01-2019 01:17,"fraud_Mosciski, Gislason and Mertz",grocery_pos,92.99,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324,632,Dealer,08-04-1989,82a8fce947e7d34e5bcf45fd9fe9f42d,0
102,01-01-2019 01:18,fraud_Schmeler Inc,misc_pos,43.02,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,1140,"Administrator, education",20-06-1986,d326f783a50d8654a38831c8ab97bee8,0
103,01-01-2019 01:19,"fraud_Schaefer, McGlynn and Bosco",gas_transport,51.33,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,241,Educational psychologist,16-12-1980,a8af4c635415817aaeea5cbbe380e010,0
104,01-01-2019 01:19,fraud_Williamson LLC,misc_pos,47.85,Regina,Johnston,F,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,3255,Financial trader,08-07-1978,dd8b591a334c3fc2f2b3d575bb25d3a5,0
105,01-01-2019 01:20,fraud_Pouros-Conroy,shopping_pos,9.23,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,1577385,Audiological scientist,29-12-1957,bcba3232a5192f63bb055c14f71542a7,0
106,01-01-2019 01:21,fraud_Erdman-Kertzmann,gas_transport,80.36,Cheryl,Ballard,F,248 James Squares Apt. 838,Halstad,MN,56548,771,"Scientist, audiological",14-06-1972,9088a967b5eba8188e88a447225a5a0b,0
107,01-01-2019 01:22,fraud_Kuhn LLC,misc_net,6.36,Katherine,Love,F,5884 Sandoval Square Apt. 371,Allenhurst,NJ,7711,1533,"Administrator, charities/voluntary organisations",15-04-1935,99b8d1e83b17dad071aedb850c3a8da9,0
108,01-01-2019 01:22,fraud_Fisher-Schowalter,shopping_net,226.33,Matthew,Russell,M,168 Michael Coves Suite 343,June Lake,CA,93529,633,Health service manager,09-09-1927,208e003f309f9db37b3c40ddc9271908,0
109,01-01-2019 01:23,fraud_Medhurst PLC,shopping_net,215.99,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476,217,Retail merchandiser,01-10-1928,e13482d8e24ed41362ff84bb9f100623,0
110,01-01-2019 01:23,fraud_Kerluke Inc,misc_net,1.47,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,331,Telecommunications researcher,19-08-1950,6569a85a160476c677bf9a4c2da40cfd,0
111,01-01-2019 01:23,fraud_Stark-Batz,entertainment,5.83,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,2566,Exercise physiologist,26-06-1958,14eb123e2dc9745d0ca4c87a5469ffe4,0
112,01-01-2019 01:23,"fraud_Gottlieb, Considine and Schultz",shopping_net,51.04,Monique,Fox,F,755 Gardner Heights Apt. 420,Paxton,MA,1612,4845,Accounting technician,14-09-1926,32b073ebd568a36b9720f92882a0ac04,0
113,01-01-2019 01:23,fraud_Bauch-Raynor,grocery_pos,122.05,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,73,Product designer,10-02-1935,d83aa7370cef2c7a209118f313d0b360,0
114,01-01-2019 01:25,"fraud_Adams, Kovacek and Kuhlman",grocery_net,106.19,Christopher,Patterson,M,16744 Campbell Wall Apt. 372,Timberville,VA,22853,4367,Waste management officer,12-04-1962,1d088cdb9fa62ea5cbd482110abaedf0,0
115,01-01-2019 01:26,"fraud_Huel, Hammes and Witting",grocery_pos,129.09,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,427,Mining engineer,05-02-1951,d97964d0b996ba0d0dbf2aae5f558dcd,0
116,01-01-2019 01:28,fraud_Grimes LLC,entertainment,7.06,Ashley,Robinson,F,1007 Colton Forks,Hopewell,VA,23860,31970,Purchasing manager,15-08-1935,d27fd7a3300953b0cb67d38e65c2f344,0
117,01-01-2019 01:28,fraud_Rodriguez Group,gas_transport,61.71,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,1493,Amenity horticulturist,21-03-1985,2b76f72055163acfeaa19f6c1f15314c,0
118,01-01-2019 01:30,fraud_Bernhard Inc,gas_transport,45.77,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,48194,Surgeon,03-05-1990,949a6e32484f6a256a45bf09625165ff,0
